order_id,customer_name,city,product_name,category,price,quantity,revenue,order_date
1,Priya,Hyderabad,Monitor,Electronics,11750,1,11750,23-05-2023
2,Priya,Delhi,Phone,Electronics,30104,2,60208,02-02-2023
3,Rahul,Hyderabad,Keyboard,Accessories,1238,3,3714,28-01-2023
4,Rohit,Bangalore,Table,Furniture,9725,2,19450,12-10-2023
5,Rahul,Bangalore,Table,Furniture,9848,2,19696,09-06-2023
6,Sneha,Chennai,Phone,Electronics,29594,2,59188,10-04-2023
7,Anita,Chennai,Monitor,Electronics,12326,1,12326,15-04-2024
8,Rohit,Hyderabad,Table,Furniture,9580,3,28740,28-10-2023
9,Neha,Chennai,Keyboard,Accessories,1721,1,1721,16-02-2023
10,Sneha,Chennai,Phone,Electronics,30375,1,30375,14-04-2023
11,Kiran,Chennai,Mouse,Accessories,950,2,1900,16-06-2023
12,Anita,Chennai,Keyboard,Accessories,1686,2,3372,15-03-2023
13,Neha,Bangalore,Keyboard,Accessories,1167,2,2334,24-01-2024
14,Vikram,Delhi,Keyboard,Accessories,1701,2,3402,27-02-2023
15,Sneha,Hyderabad,Chair,Furniture,7910,2,15820,09-03-2023
16,Sneha,Delhi,Chair,Furniture,7717,3,23151,26-05-2024
17,Kiran,Mumbai,Headphones,Accessories,2771,1,2771,10-09-2023
18,Rohit,Delhi,Monitor,Electronics,12264,3,36792,14-03-2024
19,Neha,Mumbai,Chair,Furniture,7724,1,7724,05-06-2024
20,Meera,Hyderabad,Laptop,Electronics,70381,1,70381,06-06-2023
21,Arun,Mumbai,Phone,Electronics,29894,2,59788,24-04-2024
22,Rohit,Chennai,Laptop,Electronics,70196,3,210588,28-04-2023
23,Rohit,Chennai,Chair,Furniture,7614,2,15228,21-03-2024
24,Arun,Mumbai,Laptop,Electronics,70476,3,211428,27-09-2023
25,Rohit,Bangalore,Phone,Electronics,30391,3,91173,02-11-2023
26,Rohit,Delhi,Keyboard,Accessories,1156,2,2312,15-06-2023
27,Rohit,Delhi,Laptop,Electronics,70113,2,140226,15-05-2024
28,Rahul,Hyderabad,Chair,Furniture,8399,2,16798,03-09-2023
29,Rahul,Bangalore,Phone,Electronics,29587,3,88761,12-05-2024
30,Priya,Delhi,Headphones,Accessories,2631,3,7893,01-05-2024
31,Rohit,Bangalore,Monitor,Electronics,12040,3,36120,09-03-2024
32,Sneha,Delhi,Keyboard,Accessories,1730,2,3460,13-02-2024
33,Anita,Mumbai,Mouse,Accessories,423,1,423,19-08-2023
34,Priya,Chennai,Laptop,Electronics,70102,3,210306,24-08-2023
35,Neha,Bangalore,Laptop,Electronics,69572,3,208716,02-03-2023
36,Sneha,Hyderabad,Laptop,Electronics,70380,2,140760,14-03-2023
37,Rohit,Bangalore,Monitor,Electronics,12185,2,24370,08-08-2023
38,Rohit,Bangalore,Mouse,Accessories,548,2,1096,21-02-2024
39,Sneha,Hyderabad,Phone,Electronics,30174,2,60348,29-12-2023
40,Kiran,Mumbai,Mouse,Accessories,1184,3,3552,25-02-2023
41,Priya,Hyderabad,Table,Furniture,10245,2,20490,22-04-2023
42,Sneha,Bangalore,Keyboard,Accessories,1549,2,3098,24-05-2023
43,Kiran,Bangalore,Monitor,Electronics,11973,1,11973,19-03-2023
44,Meera,Delhi,Phone,Electronics,29551,3,88653,07-07-2024
45,Rahul,Hyderabad,Keyboard,Accessories,1170,2,2340,12-05-2024
46,Meera,Bangalore,Table,Furniture,10424,1,10424,18-06-2023
47,Kiran,Hyderabad,Table,Furniture,9771,2,19542,20-10-2023
48,Kiran,Delhi,Mouse,Accessories,458,1,458,31-10-2023
49,Sneha,Hyderabad,Laptop,Electronics,70265,2,140530,28-02-2023
50,Rahul,Delhi,Mouse,Accessories,814,3,2442,11-06-2023
51,Rahul,Delhi,Phone,Electronics,30371,1,30371,12-03-2023
52,Neha,Hyderabad,Keyboard,Accessories,1413,1,1413,06-08-2024
53,Sneha,Delhi,Laptop,Electronics,70134,1,70134,05-03-2024
54,Neha,Delhi,Chair,Furniture,8457,2,16914,29-07-2023
55,Anita,Bangalore,Monitor,Electronics,11905,1,11905,04-11-2023
56,Meera,Chennai,Phone,Electronics,29509,2,59018,30-07-2024
57,Priya,Hyderabad,Keyboard,Accessories,1518,2,3036,16-05-2023
58,Anita,Hyderabad,Keyboard,Accessories,1378,2,2756,11-06-2023
59,Meera,Delhi,Monitor,Electronics,12126,3,36378,25-06-2024
60,Rahul,Delhi,Monitor,Electronics,12454,3,37362,17-04-2023
61,Arun,Chennai,Phone,Electronics,30411,1,30411,20-07-2024
62,Arun,Chennai,Monitor,Electronics,12119,1,12119,18-12-2023
63,Sneha,Chennai,Mouse,Accessories,557,1,557,05-04-2023
64,Kiran,Chennai,Laptop,Electronics,69503,2,139006,14-05-2023
65,Vikram,Bangalore,Mouse,Accessories,864,3,2592,13-03-2024
66,Rohit,Hyderabad,Phone,Electronics,29577,3,88731,02-06-2023
67,Rohit,Hyderabad,Chair,Furniture,8096,3,24288,01-06-2023
68,Kiran,Bangalore,Laptop,Electronics,69815,2,139630,10-02-2023
69,Anita,Bangalore,Keyboard,Accessories,1682,1,1682,29-12-2023
70,Rohit,Mumbai,Headphones,Accessories,3447,1,3447,16-06-2023
71,Arun,Mumbai,Laptop,Electronics,69683,3,209049,07-12-2023
72,Kiran,Bangalore,Monitor,Electronics,11663,3,34989,21-04-2023
73,Kiran,Hyderabad,Mouse,Accessories,527,1,527,16-04-2024
74,Anita,Chennai,Keyboard,Accessories,1228,1,1228,17-07-2023
75,Kiran,Chennai,Monitor,Electronics,12385,1,12385,13-10-2023
76,Anita,Delhi,Table,Furniture,10195,3,30585,06-12-2023
77,Rahul,Hyderabad,Monitor,Electronics,11682,3,35046,29-09-2023
78,Rahul,Hyderabad,Table,Furniture,9853,3,29559,18-11-2023
79,Kiran,Delhi,Phone,Electronics,29894,3,89682,14-07-2023
80,Vikram,Hyderabad,Table,Furniture,9501,3,28503,05-07-2024
81,Sneha,Chennai,Table,Furniture,9571,3,28713,05-12-2023
82,Neha,Chennai,Phone,Electronics,30237,2,60474,03-06-2024
83,Vikram,Mumbai,Chair,Furniture,7912,3,23736,30-10-2023
84,Rohit,Bangalore,Keyboard,Accessories,1430,3,4290,24-01-2024
85,Arun,Delhi,Monitor,Electronics,11915,3,35745,01-01-2023
86,Vikram,Chennai,Keyboard,Accessories,1440,3,4320,26-11-2023
87,Meera,Mumbai,Mouse,Accessories,991,1,991,07-06-2024
88,Meera,Bangalore,Phone,Electronics,29790,3,89370,10-12-2023
89,Priya,Bangalore,Monitor,Electronics,11730,1,11730,31-05-2023
90,Rahul,Hyderabad,Keyboard,Accessories,1486,3,4458,16-03-2023
91,Meera,Mumbai,Keyboard,Accessories,1735,3,5205,29-01-2024
92,Meera,Mumbai,Keyboard,Accessories,1151,3,3453,06-01-2023
93,Priya,Mumbai,Keyboard,Accessories,1180,3,3540,14-06-2024
94,Meera,Hyderabad,Keyboard,Accessories,1939,1,1939,12-04-2024
95,Arun,Mumbai,Chair,Furniture,8472,2,16944,31-05-2024
96,Kiran,Delhi,Mouse,Accessories,1218,1,1218,01-05-2024
97,Meera,Chennai,Keyboard,Accessories,1860,3,5580,11-10-2023
98,Rohit,Mumbai,Keyboard,Accessories,1281,2,2562,21-03-2023
